Name,PDF,Image,Description,Alt,Issuer
Search and Rescue,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Search_and_Rescue.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/search_and_rescue_sm.jpg,Boy Scouts of America - Search and Rescue Badge,Search and Rescue Badge Image,1
Shotgun Shooting,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Shotgun_Shooting.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/shotgun_shooting_lg.jpg,Boy Scouts of America - Shotgun Shooting Badge,Shotgun Shooting Badge Image,1
"Signs, Signals, and Codes",https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/SignsSignals_and_Codes.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/sign_sig_code_lg.jpg,"Boy Scouts of America - Signs, Signals, and Codes Badge","Signs, Signals, and Codes Badge Image",1
Skating,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Skating.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/skating_lg.jpg,Boy Scouts of America - Skating Badge,Skating Badge Image,1
Small-Boat Sailing,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Small-BoatSailing.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/small-boat_sailing_lg.jpg,Boy Scouts of America - Small-Boat Sailing Badge,Small-Boat Sailing Badge Image,1
Snow Sports,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Snow_Sports_2016.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/snow_sports_lg.jpg,Boy Scouts of America - Snow Sports Badge,Snow Sports Badge Image,1
Soil and Water Conservation,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Soil_and_WaterConservation.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/soil_and_water_conservation_lg.jpg,Boy Scouts of America - Soil and Water Conservation Badge,Soil and Water Conservation Badge Image,1
Space Exploration,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Space_Exploration.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/space_exploration_sm.jpg,Boy Scouts of America - Space Exploration Badge,Space Exploration Badge Image,1
Sports,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Sports.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/sports_lg.jpg,Boy Scouts of America - Sports Badge,Sports Badge Image,1
Stamp Collecting,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Stamp_Collecting.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/stamp_collecting_lg.jpg,Boy Scouts of America - Stamp Collecting Badge,Stamp Collecting Badge Image,1
Surveying,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Surveying.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/surveying_lg.jpg,Boy Scouts of America - Surveying Badge,Surveying Badge Image,1
Sustainability,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Sustainability.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/sustainability_lg.jpg,Boy Scouts of America - Sustainability Badge,Sustainability Badge Image,1
Swimming,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Swimming.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/swimming_lg.jpg,Boy Scouts of America - Swimming Badge,Swimming Badge Image,1
Textile,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Textile.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/textile_lg.jpg,Boy Scouts of America - Textile Badge,Textile Badge Image,1
Theater,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Theater.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/theater_lg.jpg,Boy Scouts of America - Theater Badge,Theater Badge Image,1
Traffic Safety,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Traffic_Safety.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/traffic_safety_lg.jpg,Boy Scouts of America - Traffic Safety Badge,Traffic Safety Badge Image,1
Truck Transportation,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Truck_Transportation.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/truck_transportation_lg.jpg,Boy Scouts of America - Truck Transportation Badge,Truck Transportation Badge Image,1
Veterinary Medicine,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Veterinary_Medicine.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/veterinary_medicine_lg.jpg,Boy Scouts of America - Veterinary Medicine Badge,Veterinary Medicine Badge Image,1
Water Sports,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Water_Sports.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/water_sports_lg.jpg,Boy Scouts of America - Water Sports Badge,Water Sports Badge Image,1
Weather,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Weather.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/weather_lg.jpg,Boy Scouts of America - Weather Badge,Weather Badge Image,1
Welding,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Welding.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/mb-welding-larrge.jpg,Boy Scouts of America - Welding Badge,Welding Badge Image,1
Whitewater,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Whitewater_2016.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/whitewater_lg.jpg,Boy Scouts of America - Whitewater Badge,Whitewater Badge Image,1
Wilderness Survival,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Wilderness_Survival.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/wilderness_survival_lg.jpg,Boy Scouts of America - Wilderness Survival Badge,Wilderness Survival Badge Image,1
Wood Carving,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Wood_Carving.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/wood_carving_lg.jpg,Boy Scouts of America - Wood Carving Badge,Wood Carving Badge Image,1
Woodwork,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Woodwork.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/woodwork_lg.jpg,Boy Scouts of America - Woodwork Badge,Woodwork Badge Image,1
