Name,PDF,Image,Description,Alt,Issuer
Collections,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Collections.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/collections_lg.jpg,Boy Scouts of America - Collections Badge,Collections Badge Image,1
Communication,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Communication.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/communication_lg.jpg,Boy Scouts of America - Communication Badge,Communication Badge Image,1
Composite Materials,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Composite_Materials.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/composite_materials_lg.jpg,Boy Scouts of America - Composite Materials Badge,Composite Materials Badge Image,1
Cooking,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Cooking_2016.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/cooking_lg.jpg,Boy Scouts of America - Cooking Badge,Cooking Badge Image,1
Crime Prevention,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Crime_Prevention.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/crime_prevention_lg.jpg,Boy Scouts of America - Crime Prevention Badge,Crime Prevention Badge Image,1
Cycling,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Cycling.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/cycling_lg.jpg,Boy Scouts of America - Cycling Badge,Cycling Badge Image,1
Dentistry,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Dentistry.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/dentistry_lg.jpg,Boy Scouts of America - Dentistry Badge,Dentistry Badge Image,1
Digital Technology,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Digital_Technology.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/digital_tech_lg.jpg,Boy Scouts of America - Digital Technology Badge,Digital Technology Badge Image,1
Disabilities Awareness,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Disabilities_Awareness.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/disabilities_awareness_lg.jpg,Boy Scouts of America - Disabilities Awareness Badge,Disabilities Awareness Badge Image,1
Dog Care,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Dog_Care.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/dog_care_lg.jpg,Boy Scouts of America - Dog Care Badge,Dog Care Badge Image,1
Drafting,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Drafting.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/drafting_lg.jpg,Boy Scouts of America - Drafting Badge,Drafting Badge Image,1
Electricity,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Electricity.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/electricity_lg.jpg,Boy Scouts of America - Electricity Badge,Electricity Badge Image,1
Electronics,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Electronics.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/electronics_lg.jpg,Boy Scouts of America - Electronics Badge,Electronics Badge Image,1
Emergency Preparedness,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Emergency_Preparedness.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/emergency_preparedness_lg.jpg,Boy Scouts of America - Emergency Preparedness Badge,Emergency Preparedness Badge Image,1
Energy,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Energy.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/energy_lg.jpg,Boy Scouts of America - Energy Badge,Energy Badge Image,1
Engineering,https://filestore.scouting.org/filestore/Merit_Badge_ReqandRes/Engineering.pdf,https://filestore.scouting.org/filestore/boyscouts/jpg/engineering_lg.jpg,Boy Scouts of America - Engineering Badge,Engineering Badge Image,1
